job_id,title,company_location,experience_level,employment_type,salary_min,salary_max,currency,skills,job_category
JOB016613,Software Engineer,US,EN,FT,104000.0,104000.0,USD,[],Data Engineer
JOB016614,Software Engineer,US,SE,FT,150000.0,150000.0,USD,[],Data Engineer
JOB016615,Software Engineer,US,SE,FT,90000.0,90000.0,USD,[],Data Engineer
JOB016616,Software Engineer,US,SE,FT,225600.0,225600.0,USD,[],Data Engineer
JOB016617,Software Engineer,US,SE,FT,160000.0,160000.0,USD,[],Data Engineer
JOB016618,Software Engineer,US,SE,FT,201500.0,201500.0,USD,[],Data Engineer
JOB016619,Software Engineer,US,SE,FT,183000.0,183000.0,USD,[],Data Engineer
JOB016620,Software Engineer,US,SE,FT,167500.0,167500.0,USD,[],Data Engineer
JOB016621,Software Engineer,US,SE,FT,106500.0,106500.0,USD,[],Data Engineer
JOB016622,Data Analyst,PL,SE,FT,54000.0,54000.0,USD,[],Data Analyst
JOB016623,Data Analyst,US,EN,FT,90000.0,90000.0,USD,[],Data Analyst
JOB016624,Machine Learning Platform Engineer,US,MI,FT,283780.0,283780.0,USD,[],ML Engineer
JOB016625,Machine Learning Platform Engineer,US,MI,FT,233840.0,233840.0,USD,[],ML Engineer
JOB016626,Machine Learning Platform Engineer,US,MI,FT,220000.0,220000.0,USD,[],ML Engineer
JOB016627,Machine Learning Platform Engineer,US,MI,FT,150000.0,150000.0,USD,[],ML Engineer
JOB016628,Data Analyst,US,MI,FT,75000.0,75000.0,USD,[],Data Analyst
JOB016629,Data Analyst,US,MI,FT,65000.0,65000.0,USD,[],Data Analyst
JOB016630,Software Engineer,US,MI,FT,175000.0,175000.0,USD,[],Data Engineer
JOB016631,Software Engineer,US,MI,FT,100000.0,100000.0,USD,[],Data Engineer
JOB016632,Software Engineer,US,MI,FT,175000.0,175000.0,USD,[],Data Engineer
JOB016633,Software Engineer,US,MI,FT,100000.0,100000.0,USD,[],Data Engineer
JOB016634,Software Engineer,US,MI,FT,175000.0,175000.0,USD,[],Data Engineer
JOB016635,Software Engineer,US,MI,FT,100000.0,100000.0,USD,[],Data Engineer
JOB016636,Software Engineer,US,MI,FT,175000.0,175000.0,USD,[],Data Engineer
JOB016637,Software Engineer,US,MI,FT,100000.0,100000.0,USD,[],Data Engineer
